******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,3,교양,농업생명과학대학,CLTR210014,명저읽기와 토론,3,3,0,윤병욱/이정동/김윤하,월10A/10B/11A/수10A/10B/11A,월18:00 ~ 19:30/수18:00 ~ 19:30,농대4호관(농업생명과학관)-302,30,18,13,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,3,교양,농업생명과학대학,CLTR210019,명저읽기와 토론,3,3,0,한상열,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,농대1호관-417,30,4,2,Y,인문교양,,
******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,인문대학,CLTR045001,논리와 비판적 사고,3,3,0,권홍우,화2B/3A/3B/목1A/1B/2A,화10:30 ~ 12:00/목09:00 ~ 10:30,인문대학-211,70,70,81,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,사회과학대학,CLTR045002,논리와 비판적 사고,3,3,0,김경수,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,사회과학대학-402,70,70,96,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,자연과학대학,CLTR045004,논리와 비판적 사고,3,3,0,이향연,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,생명공학관(교양과정동)-209,70,70,92,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,자연과학대학,CLTR045005,논리와 비판적 사고,3,3,0,주혜연,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,KNU글로벌프라자-301,70,70,20,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,자연과학대학,CLTR045006,논리와 비판적 사고,3,3,0,김동한,월7A/7B/8A/금7A/7B/8A,월15:00 ~ 16:30/금15:00 ~ 16:30,생명공학관(교양과정동)-104-1,70,70,32,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,자연과학대학,CLTR045007,논리와 비판적 사고,3,3,0,석원호,월7A/7B/8A/금7A/7B/8A,월15:00 ~ 16:30/금15:00 ~ 16:30,생명공학관(교양과정동)-209,70,0,0,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,농업생명과학대학,CLTR045008,논리와 비판적 사고,3,3,0,석미현,화1A/1B/2A/목2B/3A/3B,화09:00 ~ 10:30/목10:30 ~ 12:00,농대2호관-401,70,70,16,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,농업생명과학대학,CLTR045009,논리와 비판적 사고,3,3,0,전재원,화1A/1B/2A/목2B/3A/3B,화09:00 ~ 10:30/목10:30 ~ 12:00,농대3호관-522,70,70,25,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,농업생명과학대학,CLTR045010,논리와 비판적 사고,3,3,0,배태주,토5A/5B/토6A/6B/토7A/7B,토13:00 ~ 14:00/토14:00 ~ 15:00/토15:00 ~ 16:00,농대4호관(농업생명과학관)-403,70,20,0,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,수의과대학,CLTR045011,논리와 비판적 사고,3,3,0,정석현,화1A/1B/2A/목2B/3A/3B,화09:00 ~ 10:30/목10:30 ~ 12:00,KNU글로벌프라자-502,70,69,37,Y,인문교양,혼합,
교양/교직/군사학/창업,첨성인기초 - 사고교육,NULL,1,교양,간호대학,CLTR045012,논리와 비판적 사고,3,3,0,전재원,월8B/9A/9B/수7A/7B/8A,월16:30 ~ 18:00/수15:00 ~ 16:30,제4합동강의동-408,70,36,15,Y,인문교양,혼합,
